AK1,-5.0471,7.9486
AK14,-5.0471,7.553
AK23,-5.0471,7.3552
AN1,-4.8493,7.9486
AN14,-4.8493,7.553
AN23,-4.8493,7.3552
AN7,-4.8493,7.7508
AU105,-4.7047,5.6509
AU114,-4.7047,5.4671
AU122,-4.7047,5.2833
AU131,-4.7047,5.0994
AU140,-4.7047,4.9156
AU149,-4.7047,4.7318
AU158,-4.7047,4.548
AU16,-4.7047,7.4891
AU167,-4.7047,4.3642
AU176,-4.7047,4.1804
AU184,-4.7047,3.9966
AU192,-4.7047,3.8127
AU2,-4.7047,7.8567
AU200,-4.7047,3.6289
AU209,-4.7047,3.4451
AU218,-4.7047,3.2613
AU227,-4.7047,3.0775
AU236,-4.7047,2.8937
AU244,-4.7047,2.7098
AU25,-4.7047,7.3052
AU253,-4.7047,2.526
AU262,-4.7047,2.3422
AU271,-4.7047,2.1584
AU280,-4.7047,1.9746
AU289,-4.7047,1.7908
AU297,-4.7047,1.6069
AU306,-4.7047,1.4231
AU314,-4.7047,1.2393
AU324,-4.7047,1.0555
AU332,-4.7047,0.8717
AU34,-4.7047,7.1214
AU342,-4.7047,0.6879
AU350,-4.7047,0.504
AU360,-4.7047,0.3202
AU367,-4.7047,0.1364
AU374,-4.7047,-0.0474
AU381,-4.7047,-0.2312
AU389,-4.7047,-0.415
AU396,-4.7047,-0.5989
AU404,-4.7047,-0.7827
AU411,-4.7047,-0.9665
AU418,-4.7047,-1.1503
AU425,-4.7047,-1.3341
AU43,-4.7047,6.9376
AU433,-4.7047,-1.5179
AU440,-4.7047,-1.7017
AU448,-4.7047,-1.8856
AU455,-4.7047,-2.0694
AU52,-4.7047,6.7538
AU60,-4.7047,6.57
AU69,-4.7047,6.3862
AU78,-4.7047,6.2023
AU87,-4.7047,6.0185
AU9,-4.7047,7.6729
AU96,-4.7047,5.8347
BC105,-4.5209,5.6509
BC114,-4.5209,5.4671
BC122,-4.5209,5.2833
BC131,-4.5209,5.0994
BC140,-4.5209,4.9156
BC149,-4.5209,4.7318
BC158,-4.5209,4.548
BC16,-4.5209,7.4891
BC167,-4.5209,4.3642
BC176,-4.5209,4.1804
BC184,-4.5209,3.9966
BC192,-4.5209,3.8127
BC2,-4.5209,7.8567
BC200,-4.5209,3.6289
BC209,-4.5209,3.4451
BC218,-4.5209,3.2613
BC227,-4.5209,3.0775
BC236,-4.5209,2.8937
BC244,-4.5209,2.7098
BC25,-4.5209,7.3052
BC253,-4.5209,2.526
BC262,-4.5209,2.3422
BC271,-4.5209,2.1584
BC280,-4.5209,1.9746
BC289,-4.5209,1.7908
BC297,-4.5209,1.6069
BC306,-4.5209,1.4231
BC314,-4.5209,1.2393
BC324,-4.5209,1.0555
BC332,-4.5209,0.8717
BC34,-4.5209,7.1214
BC342,-4.5209,0.6879
BC350,-4.5209,0.504
BC360,-4.5209,0.3202
BC367,-4.5209,0.1364
BC374,-4.5209,-0.0474
BC381,-4.5209,-0.2312
BC389,-4.5209,-0.415
BC396,-4.5209,-0.5989
BC404,-4.5209,-0.7827
BC411,-4.5209,-0.9665
BC418,-4.5209,-1.1503
BC425,-4.5209,-1.3341
BC43,-4.5209,6.9376
BC433,-4.5209,-1.5179
BC440,-4.5209,-1.7017
BC448,-4.5209,-1.8856
BC455,-4.5209,-2.0694
BC52,-4.5209,6.7538
BC60,-4.5209,6.57
BC69,-4.5209,6.3862
BC78,-4.5209,6.2023
BC87,-4.5209,6.0185
BC9,-4.5209,7.6729
BC96,-4.5209,5.8347
BH105,-4.3371,5.6509
BH114,-4.3371,5.4671
BH122,-4.3371,5.2833
BH131,-4.3371,5.0994
BH140,-4.3371,4.9156
BH149,-4.3371,4.7318
BH158,-4.3371,4.548
BH16,-4.3371,7.4891
BH167,-4.3371,4.3642
BH176,-4.3371,4.1804
BH184,-4.3371,3.9966
BH192,-4.3371,3.8127
BH2,-4.3371,7.8567
BH200,-4.3371,3.6289
BH209,-4.3371,3.4451
BH218,-4.3371,3.2613
BH227,-4.3371,3.0775
BH236,-4.3371,2.8937
BH244,-4.3371,2.7098
BH25,-4.3371,7.3052
BH253,-4.3371,2.526
BH262,-4.3371,2.3422
BH271,-4.3371,2.1584
BH280,-4.3371,1.9746
BH289,-4.3371,1.7908
BH297,-4.3371,1.6069
BH306,-4.3371,1.4231
BH314,-4.3371,1.2393
BH324,-4.3371,1.0555
BH332,-4.3371,0.8717
BH34,-4.3371,7.1214
BH342,-4.3371,0.6879
BH350,-4.3371,0.504
BH360,-4.3371,0.3202
BH367,-4.3371,0.1364
BH374,-4.3371,-0.0474
BH381,-4.3371,-0.2312
BH389,-4.3371,-0.415
BH396,-4.3371,-0.5989
BH404,-4.3371,-0.7827
BH411,-4.3371,-0.9665
BH418,-4.3371,-1.1503
BH425,-4.3371,-1.3341
BH43,-4.3371,6.9376
BH433,-4.3371,-1.5179
BH440,-4.3371,-1.7017
BH448,-4.3371,-1.8856
BH455,-4.3371,-2.0694
BH52,-4.3371,6.7538
BH60,-4.3371,6.57
BH69,-4.3371,6.3862
BH78,-4.3371,6.2023
BH87,-4.3371,6.0185
BH9,-4.3371,7.6729
BH96,-4.3371,5.8347
BP105,-4.1533,5.6509
BP114,-4.1533,5.4671
BP122,-4.1533,5.2833
BP131,-4.1533,5.0994
BP140,-4.1533,4.9156
BP149,-4.1533,4.7318
BP158,-4.1533,4.548
BP16,-4.1533,7.4891
BP167,-4.1533,4.3642
BP176,-4.1533,4.1804
BP184,-4.1533,3.9966
BP192,-4.1533,3.8127
BP2,-4.1533,7.8567
BP200,-4.1533,3.6289
BP209,-4.1533,3.4451
BP218,-4.1533,3.2613
BP227,-4.1533,3.0775
BP236,-4.1533,2.8937
