C705,0.0150940
G694,0.0069569
G719,0.0375195
G735,0.0283062
G760,0.0228739
P701,0.0102857
P709,0.0388146
P743,0.0374759
P770,0.0183249
Y709,0.0352600
Y727,0.0559486
Y735,0.0333595
Y753,0.0349862
AC690,0.0016362
AE760,0.0264269
AF654,0.0003176
AF680,-0.0000045
AG773,0.0063150
AH666,0.0043645
AJ735,0.0137681
AJ753,0.0193780
AK654,0.0002543
AK662,0.0020772
AK680,0.0027630
AK686,0.0004618
AK692,0.0014365
AK698,0.0037275
AK706,0.0142374
AK713,0.0207238
AK722,0.0156654
AK729,0.0045531
AM739,0.0117206
AN698,0.0029397
AN706,0.0080683
AN713,0.0067646
AN722,0.0112034
AP735,0.0068555
AR702,0.0125134
