-4948.209,7849.693,AL3,0.0050161
-4948.209,7454.089,AL18,0.0055824
-4948.209,7256.287,AL28,0.0059185
-4612.828,7948.594,AY1,0.0052553
-4612.828,7764.778,AY6,0.0060205
-4612.828,7580.962,AY12,0.0065472
-4612.828,7397.146,AY21,0.0067984
-4612.828,7213.33,AY29,0.0070779
-4612.828,7029.514,AY39,0.00743
-4612.828,6845.698,AY47,0.0077639
-4612.828,6661.882,AY57,0.0080582
-4612.828,6478.066,AY64,0.0083207
-4612.828,6294.25,AY74,0.0084331
-4612.828,6110.434,AY82,0.0085215
-4612.828,5926.618,AY92,0.0086847
-4612.828,5742.802,AY100,0.0088991
-4612.828,5558.986,AY110,0.0090833
-4612.828,5375.17,AY118,0.0092353
-4612.828,5191.354,AY127,0.0092485
-4612.828,5007.538,AY135,0.0093751
-4612.828,4823.722,AY145,0.0095169
-4612.828,4639.906,AY153,0.0096051
-4612.828,4456.09,AY163,0.0096313
-4612.828,4272.274,AY171,0.0097603
-4612.828,4088.458,AY181,0.0099084
-4612.828,3904.642,AY188,0.0100337
-4612.828,3720.826,AY196,0.0101428
-4612.828,3537.01,AY204,0.010246
-4612.828,3353.194,AY214,0.0102354
-4612.828,3169.378,AY222,0.0103257
-4612.828,2985.562,AY231,0.0102775
-4612.828,2801.746,AY240,0.0102211
-4612.828,2617.93,AY248,0.0102368
-4612.828,2434.114,AY257,0.0102899
-4612.828,2250.298,AY266,0.0103704
-4612.828,2066.482,AY275,0.0103699
-4612.828,1882.666,AY284,0.0102957
-4612.828,1698.85,AY293,0.0101821
-4612.828,1515.034,AY302,0.0100741
-4612.828,1331.218,AY310,0.0099791
-4612.828,1147.402,AY319,0.0099084
-4612.828,963.586,AY328,0.0100078
-4612.828,779.77,AY337,0.0100902
-4612.828,595.954,AY346,0.0101112
-4612.828,412.138,AY355,0.0100634
-4612.828,228.322,AY364,0.0100569
-4612.828,44.506,AY371,0.0100094
-4612.828,-139.31,AY378,0.0099083
-4612.828,-323.126,AY384,0.009777
-4612.828,-506.942,AY392,0.0095676
-4612.828,-690.758,AY399,0.0092884
-4612.828,-874.574,AY408,0.0089379
-4612.828,-1058.39,AY415,0.0085558
-4612.828,-1242.206,AY421,0.0082716
-4612.828,-1426.022,AY428,0.0080747
-4612.828,-1609.838,AY436,0.0077877
-4612.828,-1793.654,AY444,0.007441
-4612.828,-1977.47,AY452,0.0071366
-4612.828,-2161.286,AY459,0.00666
-4429.012,7948.594,BE1,0.0055336
-4429.012,7764.778,BE6,0.0062186
-4429.012,7580.962,BE12,0.0066767
