15790.0890,12636.9040,B692
16809.0890,12576.3440,C730
16279.0890,12470.3440,G709
15961.0890,12364.3440,J697
16173.0890,12364.3440,J705
16597.0890,12364.3440,J723
17445.0890,12364.3440,J757
16915.0890,12258.3440,P735
16809.0890,12152.3440,U730
17233.0890,12152.3440,U749
15643.0890,12046.3440,Y687
16067.0890,12046.3440,Y701
17763.0890,12046.3440,Y770
16385.0890,11940.3440,AC715
16597.0890,11940.3440,AC723
16809.0890,11940.3440,AC730
17445.0890,11940.3440,AC757
14998.0890,11815.0000,AF662
17233.0890,11728.3440,AG749
17657.0890,11728.3440,AG765
15295.0890,11716.0000,AH675
15889.0890,11716.0000,AH695
16285.0890,11716.0000,AH710
16483.0890,11716.0000,AH717
16681.0890,11716.0000,AH726
17127.0890,11622.3440,AJ743
16087.0890,11518.0000,AL702
16285.0890,11518.0000,AL710
16483.0890,11518.0000,AL717
16681.0890,11518.0000,AL726
17127.0890,11410.3440,AP743
17339.0890,11410.3440,AP753
