16173.0890,12576.3440,C705
15855.0890,12470.3440,G694
16491.0890,12470.3440,G719
16915.0890,12470.3440,G735
17551.0890,12470.3440,G760
16067.0890,12258.3440,P701
16279.0890,12258.3440,P709
17127.0890,12258.3440,P743
17763.0890,12258.3440,P770
16279.0890,12046.3440,Y709
16703.0890,12046.3440,Y727
16915.0890,12046.3440,Y735
17339.0890,12046.3440,Y753
15749.0890,11940.3440,AC690
17551.0890,11834.3440,AE760
14800.0890,11815.0000,AF654
15394.0890,11815.0000,AF680
17869.0890,11728.3440,AG773
15097.0890,11716.0000,AH666
16915.0890,11622.3440,AJ735
17339.0890,11622.3440,AJ753
14800.0890,11617.0000,AK654
14998.0890,11617.0000,AK662
15394.0890,11617.0000,AK680
15592.0890,11617.0000,AK686
15790.0890,11617.0000,AK692
15988.0890,11617.0000,AK698
16186.0890,11617.0000,AK706
16384.0890,11617.0000,AK713
16582.0890,11617.0000,AK722
16780.0890,11617.0000,AK729
17021.0890,11516.3440,AM739
15988.0890,11419.0000,AN698
16186.0890,11419.0000,AN706
16384.0890,11419.0000,AN713
16582.0890,11419.0000,AN722
16915.0890,11410.3440,AP735
16087.0890,11320.0000,AR702
