-5047.11,7948.594,AK1,0.0079367
-5047.11,7552.99,AK14,0.008985
-5047.11,7355.188,AK23,0.0091443
-4849.308,7948.594,AN1,0.0079151
-4849.308,7750.792,AN7,0.0082659
-4849.308,7552.99,AN14,0.0088808
-4849.308,7355.188,AN23,0.0092935
-4704.736,7856.686,AU2,0.0081828
-4704.736,7672.87,AU9,0.0086058
-4704.736,7489.054,AU16,0.0091058
-4704.736,7305.238,AU25,0.009615
-4704.736,7121.422,AU34,0.0103058
-4704.736,6937.606,AU43,0.0110815
-4704.736,6753.79,AU52,0.0117487
-4704.736,6569.974,AU60,0.0122772
-4704.736,6386.158,AU69,0.0127409
-4704.736,6202.342,AU78,0.0132309
-4704.736,6018.526,AU87,0.0136369
-4704.736,5834.71,AU96,0.0140066
-4704.736,5650.894,AU105,0.0143547
-4704.736,5467.078,AU114,0.0147119
-4704.736,5283.262,AU122,0.0150542
-4704.736,5099.446,AU131,0.0153228
-4704.736,4915.63,AU140,0.0156048
-4704.736,4731.814,AU149,0.0158605
-4704.736,4547.998,AU158,0.0160945
-4704.736,4364.182,AU167,0.0162579
-4704.736,4180.366,AU176,0.0164028
-4704.736,3996.55,AU184,0.0165575
-4704.736,3812.734,AU192,0.0166388
-4704.736,3628.918,AU200,0.0166489
-4704.736,3445.102,AU209,0.0166911
-4704.736,3261.286,AU218,0.0167768
-4704.736,3077.47,AU227,0.0168558
-4704.736,2893.654,AU236,0.0168922
-4704.736,2709.838,AU244,0.0169661
-4704.736,2526.022,AU253,0.0170343
-4704.736,2342.206,AU262,0.017083
-4704.736,2158.39,AU271,0.0171211
-4704.736,1974.574,AU280,0.0171929
-4704.736,1790.758,AU289,0.0172732
-4704.736,1606.942,AU297,0.0173215
-4704.736,1423.126,AU306,0.0173894
-4704.736,1239.31,AU314,0.0174787
-4704.736,1055.494,AU324,0.0176348
-4704.736,871.678,AU332,0.0177142
-4704.736,687.862,AU342,0.017793
-4704.736,504.046,AU350,0.0178744
-4704.736,320.23,AU360,0.0179466
-4704.736,136.414,AU367,0.0179803
-4704.736,-47.402,AU374,0.0179891
-4704.736,-231.218,AU381,0.0179714
-4704.736,-415.034,AU389,0.0179891
-4704.736,-598.85,AU396,0.0179664
-4704.736,-782.666,AU404,0.0179226
-4704.736,-966.482,AU411,0.0178663
-4704.736,-1150.298,AU418,0.0178369
-4704.736,-1334.114,AU425,0.0177449
-4704.736,-1517.93,AU433,0.0176769
-4704.736,-1701.746,AU440,0.0176541
-4704.736,-1885.562,AU448,0.0176993
-4704.736,-2069.378,AU455,0.0176963
-4520.92,7856.686,BC2,0.0083106
-4520.92,7672.87,BC9,0.0088167
-4520.92,7489.054,BC16,0.0093835
-4520.92,7305.238,BC25,0.009885
-4520.92,7121.422,BC34,0.0104214
-4520.92,6937.606,BC43,0.0110974
-4520.92,6753.79,BC52,0.0117652
-4520.92,6569.974,BC60,0.0121576
-4520.92,6386.158,BC69,0.0126017
-4520.92,6202.342,BC78,0.0131194
-4520.92,6018.526,BC87,0.0135903
-4520.92,5834.71,BC96,0.0138724
-4520.92,5650.894,BC105,0.0142073
-4520.92,5467.078,BC114,0.0146008
-4520.92,5283.262,BC122,0.0149697
-4520.92,5099.446,BC131,0.0151661
-4520.92,4915.63,BC140,0.0154484
-4520.92,4731.814,BC149,0.0157613
-4520.92,4547.998,BC158,0.0160031
-4520.92,4364.182,BC167,0.0161219
-4520.92,4180.366,BC176,0.0162784
-4520.92,3996.55,BC184,0.0164761
-4520.92,3812.734,BC192,0.0165409
-4520.92,3628.918,BC200,0.0164752
-4520.92,3445.102,BC209,0.0165349
-4520.92,3261.286,BC218,0.0166757
-4520.92,3077.47,BC227,0.0167281
-4520.92,2893.654,BC236,0.016709
-4520.92,2709.838,BC244,0.0167998
-4520.92,2526.022,BC253,0.016926
-4520.92,2342.206,BC262,0.0169355
-4520.92,2158.39,BC271,0.0169202
-4520.92,1974.574,BC280,0.0170039
-4520.92,1790.758,BC289,0.0171558
-4520.92,1606.942,BC297,0.0171721
-4520.92,1423.126,BC306,0.017199
-4520.92,1239.31,BC314,0.0173084
-4520.92,1055.494,BC324,0.0175205
-4520.92,871.678,BC332,0.01759
-4520.92,687.862,BC342,0.0176226
-4520.92,504.046,BC350,0.0177255
-4520.92,320.23,BC360,0.0178522
-4520.92,136.414,BC367,0.0178548
-4520.92,-47.402,BC374,0.0178269
-4520.92,-231.218,BC381,0.0178157
-4520.92,-415.034,BC389,0.0178986
-4520.92,-598.85,BC396,0.0178231
-4520.92,-782.666,BC404,0.0177257
-4520.92,-966.482,BC411,0.0177211
-4520.92,-1150.298,BC418,0.0177491
-4520.92,-1334.114,BC425,0.0175742
-4520.92,-1517.93,BC433,0.0174638
-4520.92,-1701.746,BC440,0.0174693
-4520.92,-1885.562,BC448,0.0175831
-4520.92,-2069.378,BC455,0.0175576
-4337.104,7856.686,BH2,0.0082048
-4337.104,7672.87,BH9,0.0089432
-4337.104,7489.054,BH16,0.0094789
-4337.104,7305.238,BH25,0.0098984
-4337.104,7121.422,BH34,0.0103789
-4337.104,6937.606,BH43,0.0111339
-4337.104,6753.79,BH52,0.0116661
-4337.104,6569.974,BH60,0.0119994
-4337.104,6386.158,BH69,0.012444
-4337.104,6202.342,BH78,0.0130553
-4337.104,6018.526,BH87,0.0134207
-4337.104,5834.71,BH96,0.0136767
-4337.104,5650.894,BH105,0.0140337
-4337.104,5467.078,BH114,0.0145263
-4337.104,5283.262,BH122,0.0147941
-4337.104,5099.446,BH131,0.0149756
-4337.104,4915.63,BH140,0.0152833
-4337.104,4731.814,BH149,0.0156974
-4337.104,4547.998,BH158,0.0158265
-4337.104,4364.182,BH167,0.0159304
-4337.104,4180.366,BH176,0.0161137
-4337.104,3996.55,BH184,0.0164234
-4337.104,3812.734,BH192,0.0163592
-4337.104,3628.918,BH200,0.0162965
-4337.104,3445.102,BH209,0.0163625
-4337.104,3261.286,BH218,0.0165782
-4337.104,3077.47,BH227,0.0165282
-4337.104,2893.654,BH236,0.0164995
-4337.104,2709.838,BH244,0.0166059
-4337.104,2526.022,BH253,0.0167912
-4337.104,2342.206,BH262,0.0166822
-4337.104,2158.39,BH271,0.0166728
-4337.104,1974.574,BH280,0.0167792
-4337.104,1790.758,BH289,0.0170051
-4337.104,1606.942,BH297,0.0169198
-4337.104,1423.126,BH306,0.0169675
-4337.104,1239.31,BH314,0.0170974
-4337.104,1055.494,BH324,0.0174025
-4337.104,871.678,BH332,0.0173592
-4337.104,687.862,BH342,0.017403
-4337.104,504.046,BH350,0.0175368
-4337.104,320.23,BH360,0.0177647
-4337.104,136.414,BH367,0.0176631
-4337.104,-47.402,BH374,0.0176283
-4337.104,-231.218,BH381,0.0176518
-4337.104,-415.034,BH389,0.0177988
-4337.104,-598.85,BH396,0.0176004
-4337.104,-782.666,BH404,0.0175081
-4337.104,-966.482,BH411,0.0175225
-4337.104,-1150.298,BH418,0.0176088
-4337.104,-1334.114,BH425,0.0173064
-4337.104,-1517.93,BH433,0.0172196
-4337.104,-1701.746,BH440,0.0172159
-4337.104,-1885.562,BH448,0.0174137
-4337.104,-2069.378,BH455,0.0172674
-4153.288,7856.686,BP2,0.0082232
-4153.288,7672.87,BP9,0.0087789
-4153.288,7489.054,BP16,0.0093157
-4153.288,7305.238,BP25,0.0098467
-4153.288,7121.422,BP34,0.0103629
-4153.288,6937.606,BP43,0.0109074
-4153.288,6753.79,BP52,0.0113878
-4153.288,6569.974,BP60,0.0118872
-4153.288,6386.158,BP69,0.0122939
-4153.288,6202.342,BP78,0.0127231
-4153.288,6018.526,BP87,0.0131182
-4153.288,5834.71,BP96,0.0135255
-4153.288,5650.894,BP105,0.0138603
-4153.288,5467.078,BP114,0.0141967
-4153.288,5283.262,BP122,0.014527
-4153.288,5099.446,BP131,0.0148557
-4153.288,4915.63,BP140,0.0151471
-4153.288,4731.814,BP149,0.0153861
-4153.288,4547.998,BP158,0.0156258
-4153.288,4364.182,BP167,0.0158527
-4153.288,4180.366,BP176,0.0160024
-4153.288,3996.55,BP184,0.016089
-4153.288,3812.734,BP192,0.0161785
-4153.288,3628.918,BP200,0.0162766
-4153.288,3445.102,BP209,0.0162318
-4153.288,3261.286,BP218,0.0162545
-4153.288,3077.47,BP227,0.0163487
-4153.288,2893.654,BP236,0.0164226
-4153.288,2709.838,BP244,0.0163949
